Section,Section Name,Division Code,Division Name,Group Code,Group Name,Class Code,Class Name,Sub-class Code,Sub-class Name,Description
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01111',Growing of wheat,"Commercial cultivation of wheat crops, which involves activities such as planting, nurturing, harvesting, and initial processing. This business activity includes the production of wheat for various purposes, including food production, flour milling, and other wheat-based products. It may also involve the sale of wheat grain directly or after basic processing."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01112',"Growing of jowar, bajra and millets","Commercial cultivation of jowar, bajra, and millets, which involves the entire farming process from sowing to harvesting. This business activity includes preparing the land, planting the seeds, nurturing the growth of the plants, protecting them from pests and diseases, and finally harvesting the mature crops. Post-harvest activities such as initial processing and packaging of these crops for sale or further use may also be part of this operation."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01113',Growing of other cereals,"Commercial cultivation of various types of cereals, excluding rice. This involves all stages of crop production, from soil preparation and planting to crop maintenance and harvesting. The business may also engage in the initial processing of harvested cereals, such as cleaning, drying, and packaging. This category does not include the cultivation of leguminous crops or oil seeds."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01114',"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds","Commercial cultivation of pulses (dal) and other leguminous crops like peas and beans, excluding those used as oilseeds. This involves the entire farming process from planting and nurturing the crops to harvesting and preliminary processing, with the primary purpose being food production."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01115',Growing of mustard oil seed,"Commercial cultivation of mustard oil seeds, which involves activities such as planting, nurturing, harvesting, and initial processing of the seeds for oil production. This business operation may also include managing the growth conditions of the crops, pest control, and post-harvest care to ensure the quality and yield of the mustard oil seeds."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01116',Growing of groundnut oil seed,"Commercial cultivation of groundnut oil seeds, involving processes such as planting, nurturing, harvesting, and initial processing for oil extraction. This business activity primarily focuses on the production of groundnuts for oil production, which may include seed selection, soil preparation, crop rotation strategies, and pest management."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01117',Growing of sunflower oil seed,"Commercial cultivation of sunflower oil seeds, involving activities such as planting, nurturing, harvesting, and initial processing. This work typically includes the preparation of land, sowing sunflower seeds, monitoring their growth, protecting them from pests and diseases, and eventually harvesting the matured sunflowers. The harvested sunflowers are then processed to extract the oil seeds, which are used in the production of sunflower oil and other related products."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01118',Growing of soya bean oil seed,"Commercial cultivation of soya bean oil seeds is the main activity in this category. This involves the entire process of growing soya bean crops, from planting and tending to harvesting. The harvested soya beans are primarily used for oil extraction. Other activities may include initial processing of the harvested crops and managing the overall health and growth of the soya bean plants."
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0111',"Growing of cereals (except rice), leguminous crops and oil seeds",'01119',Growing of other oil seeds,Commercial cultivation of various oil seeds not mentioned elsewhere in the classification. This includes the complete process from planting and nurturing the seeds to harvesting the mature crops. The business may also involve initial processing of the harvested seeds to separate oil and other by-products.
A,"Agriculture, forestry and fishing",'01',"Crop and animal production, hunting and related service activities",'011',Growing of non-perennial crops,'0112',Growing of rice,'01121',Organic farming of basmati rice,"Cultivation of organic basmati rice, involving all stages from seed selection and planting to crop growth and harvesting. This business activity also includes the application of organic farming techniques such as natural pest management and the use of organic fertilizers. It may also encompass initial processing of the harvested rice for market readiness."
